"subject" "activity_label" "dom" "body_gravity" "acc_gyro" "jerk" "mag" "direction" "stat" "value"
23 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.391776461231618
24 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.437260931259559
25 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.386179894123077
26 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.431665647711538
27 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.383455420102857
28 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.462364073389792
29 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.361187802025
30 "SITTING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.444664843833871
1 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.350400535179245
2 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.422201101288889
3 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.46365084313123
4 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.510292886282143
5 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.460791812414911
6 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.454297792339474
7 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.48722831385334
8 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.42154961257963
9 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.461378150557778
10 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.424932350059091
11 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.374588593191489
12 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.449159466516393
13 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.439393787587719
14 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.493592669
15 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.463720618613208
16 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.439295209119872
17 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.430954670346154
18 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.466002398587671
19 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.483564831041096
20 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.499831181895959
21 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.433762344133708
22 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.510990218599206
23 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.448398593998529
24 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.505032362992754
25 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.409197759346081
26 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.452115215810135
27 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.397680439635625
28 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.508902953595886
29 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.402294891453846
30 "STANDING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.521773830006695
1 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.0310101368852632
2 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.0344583901864407
3 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.0882686111681034
4 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.0343540741833333
5 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.0775699833339286
6 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.00064812184649123
7 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.0108771169833333
8 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.0544318025864583
9 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.0785640170913462
10 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.0432880612518868
11 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.182466128828449
12 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.049575875138
13 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.0094657295877193
14 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.205174780879661
15 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.0984653182194444
16 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.117431382137255
17 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.127515407844262
18 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.1463699404875
19 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.169811090099327
20 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.144174641716667
21 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.00923823416346154
22 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.172231166320652
23 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.0937755390432203
24 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.140515322281552
25 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.256705356329932
26 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.102719321525424
27 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.0418467109912281
28 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.122353386132407
29 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.0679283248973585
30 "WALKING" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.147023801415385
1 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.10788583853602
2 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.193628478176596
3 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.0364514940959184
4 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.0410019178388889
5 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.07101833115
6 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.251218758457812
7 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.111357023648936
8 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.265385663448684
9 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.0861882755559524
10 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.192272266263158
11 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.0609766630304348
12 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.113316146956685
13 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.0675101639414894
14 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.236184660105667
15 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.136485687213095
16 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.0670856369276596
17 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.00135233845619565
18 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.159407066386364
19 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.406549612615385
20 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.0247064139977778
21 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.125798989812778
22 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.143154702506944
23 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.266338319549074
24 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.0298058855065455
25 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.230160212948276
26 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.038945895444
27 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.106918455622159
28 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.11476886417163
29 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.0681981397695833
30 "WALKING_DOWNSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.0341906272951613
1 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.225069647179245
2 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.0188190719635417
3 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.146022102478814
4 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.192421334945962
5 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.094878189406383
6 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.0479816870915686
7 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.233923288454902
8 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.0384033852535366
9 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.187422311964286
10 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.0394808796446809
11 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.236575205203704
12 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.145561927850962
13 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.259213762484545
14 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.122354499433333
15 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.101771964653125
16 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.232194709405882
17 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.167357079135417
18 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.327588296360345
19 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.04368802051875
20 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.088770325245098
21 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.11427980517766
22 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" 0.103527128805952
23 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.121272295230392
24 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.218014027080508
25 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.400584570307692
26 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.0923952109792727
27 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.203306593512647
28 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.0966573005470588
29 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.126692021930612
30 "WALKING_UPSTAIRS" "Freq" "Body" "Acc" "-" "Mag" "-" "Mean" -0.35646319203
1 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.8419291525
2 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.977435485208333
3 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.972791346129032
4 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.954557603148148
5 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.966777882884615
6 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.918878850824561
7 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.936392023846154
8 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.935308633888889
9 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.9308684376
10 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.956781819655172
11 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.980621180175439
12 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.9482046755
13 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.960517768225806
14 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.905978250196078
15 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.955340661527778
16 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.961834634857143
17 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.953021411126761
18 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.986456241538462
19 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.96626080686747
20 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.960743126176471
21 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.952596583222222
22 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.934993799305556
23 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.962959196805556
24 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.9718540425
25 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.56047777609589
26 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.976785042368421
27 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.982091652162162
28 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.95811223025
29 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.986493196666667
30 "LAYING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.969829984285714
1 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.948536786170213
2 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.967893623913043
3 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.895383350192308
4 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.93569482
5 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.9379783225
6 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.949543531272727
7 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.918432107083333
8 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.952139704347826
9 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.8933617176
10 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.96075719962963
11 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.961970763773585
12 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.952176621372549
13 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.957690563673469
14 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.944197943703704
15 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.958669836271186
16 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.961879680724638
17 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.97274734640625
18 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.983674151754386
19 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.962074065616438
20 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.952738043030303
21 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.974734999411765
22 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.942167353870968
23 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.944080772941176
24 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.968979156470588
25 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.970409337076923
26 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.953079994102564
27 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.979481668857143
28 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.955789708611111
29 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.978017021833333
30 "SITTING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.957487221451613
1 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.984278207358491
2 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.965875181296296
3 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.925430819016393
4 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.906478051785714
5 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.906104701071429
6 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.945022876491228
7 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.942724659245283
8 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.953762884074074
9 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.945167482444444
10 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.951988907954545
11 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.984853836595745
12 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.941459935081967
13 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.971564243157895
14 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.943456847333333
15 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.961207616226415
16 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.969948825128205
17 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.977635981410256
18 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.972607495342466
19 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.960505683561644
20 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.92240685739726
21 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.958774298089888
22 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.954807661269841
23 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.957212267058824
24 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.950061017681159
25 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.972663592162162
26 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.968511694324324
27 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.972753287375
28 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.92547165164557
29 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.984745318923077
30 "STANDING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.930573574915254
1 "WALKING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.136971176556842
2 "WALKING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.290407593728814
3 "WALKING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.254690333275862
4 "WALKING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.312050574166667
5 "WALKING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.158338674394643
6 "WALKING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.166840713631579
7 "WALKING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.0978090439438596
8 "WALKING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" 0.0516786278104167
9 "WALKING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.0980840496143461
10 "WALKING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.127400912069811
11 "WALKING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.288323472033898
12 "WALKING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.102204550448
13 "WALKING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.135643867842105
14 "WALKING" "Time" "Body" "Acc" "-" "Mag" "-" "Mean" -0.144404671779661
